id,name,screen_name,followers_count,friends_count
65375759,zeynep tufekci,zeynep,272700,887
661403,Clive Thompson,pomeranian99,33552,1565
67217568,Eric Mazur,eric_mazur,13966,1131
67283363,Nature Physics,NaturePhysics,151295,725
6802182,yu-ru lin,rhodiuslin,177,173
6883122,Omar Wasow,owasow,7490,5864
69133574,Hadley Wickham,hadleywickham,53690,306
691353,Joi Ito,Joi,127360,1456
6981492,Paul Ford,ftrain,38468,702
70478255,Mor Naaman,informor,3594,1431
72842277,Deborah Blum,deborahblum,31469,842
74543,Jennifer Pahlka,pahlkadot,29129,2388
749963,Pierre Omidyar,pierre,536667,475
755373,andrea forte,andicat,1281,295
75641981,Katherine Ognyanova,Ognyanova,3348,733
759249,Dean Eckles,deaneckles,6060,778
761975,ᎷᎪᎢᎢ ᎻᎪᏌᏩᎻᎬY,mathowie,27956,1082
7622782,David Gutelius,gutelius,3453,530
76228303,Solomon Messing,SolomonMg,2661,1157
765548,Hilary Mason,hmason,100480,1444
76732293,Mike Stringer,mstringer,1094,425
768948493,Colin Camerer,CFCamerer,6820,1140
77712285,Andrea Baronchelli,a_baronca,2089,463
77764733,Mayor Marty Walsh,marty_walsh,255713,2141
77810367,Christopher D. Long,octonion,19024,3336
77990334,Jari Saramäki,JariSaramaki,1183,457
782325,Kieran Healy,kjhealy,12763,100
784078,alicetiara,alicetiara,5971,993
78729443,Joe Hellerstein,joe_hellerstein,8776,582
78834227,Dean Malmgren,deanmalmgren,1082,398
788363167,Nicholas A. Christakis,NAChristakis,25219,451
